year,metric,team,value
2000,all_time_6nations_wins,England,246.0
2000,all_time_6nations_wins,Ireland,230.0
2000,all_time_6nations_wins,France,140.0
2000,all_time_6nations_wins,Scotland,136.0
2000,all_time_6nations_wins,Wales,111.0
2000,all_time_6nations_wins,Italy,106.0
2000,all_time_6nations_wins,England,246.0
2000,all_time_6nations_wins,Ireland,230.0
2000,all_time_6nations_wins,France,140.0
2000,all_time_6nations_wins,Scotland,136.0
2000,all_time_6nations_wins,Wales,111.0
2000,all_time_6nations_wins,Italy,106.0
2000,points,England,246.0
2000,points,Ireland,230.0
2000,points,France,140.0
2000,points,Scotland,136.0
2000,points,Wales,111.0
2000,points,Italy,106.0
2000,points,England,246.0
2000,points,Ireland,230.0
2000,points,France,140.0
2000,points,Scotland,136.0
2000,points,Wales,111.0
2000,points,Italy,106.0
2000,england,England,246.0
2000,england,Ireland,230.0
2000,england,France,140.0
2000,england,Scotland,136.0
2000,england,Wales,111.0
2000,england,Italy,106.0
2001,all_time_6nations_wins,England,286.0
2001,all_time_6nations_wins,Ireland,159.0
2001,all_time_6nations_wins,Scotland,127.0
2001,all_time_6nations_wins,Wales,125.0
2001,all_time_6nations_wins,France,115.0
2001,all_time_6nations_wins,Italy,106.0
2001,all_time_6nations_wins,England,286.0
2001,all_time_6nations_wins,Ireland,159.0
2001,all_time_6nations_wins,Scotland,127.0
2001,all_time_6nations_wins,Wales,125.0
2001,all_time_6nations_wins,France,115.0
2001,all_time_6nations_wins,Italy,106.0
2001,points,England,286.0
2001,points,Ireland,159.0
2001,points,Scotland,127.0
2001,points,Wales,125.0
2001,points,France,115.0
2001,points,Italy,106.0
2001,points,England,286.0
2001,points,Ireland,159.0
2001,points,Scotland,127.0
2001,points,Wales,125.0
2001,points,France,115.0
2001,points,Italy,106.0
2001,england,England,286.0
2001,england,Ireland,159.0
2001,england,Scotland,127.0
2001,england,Wales,125.0
2001,england,France,115.0
2001,england,Italy,106.0
2002,all_time_6nations_wins,England,258.0
2002,all_time_6nations_wins,France,156.0
2002,all_time_6nations_wins,Ireland,156.0
2002,all_time_6nations_wins,Wales,119.0
2002,all_time_6nations_wins,Scotland,94.0
2002,all_time_6nations_wins,Italy,70.0
2002,all_time_6nations_wins,England,258.0
2002,all_time_6nations_wins,France,156.0
2002,all_time_6nations_wins,Ireland,156.0
2002,all_time_6nations_wins,Wales,119.0
2002,all_time_6nations_wins,Scotland,94.0
2002,all_time_6nations_wins,Italy,70.0
2002,points,England,258.0
2002,points,France,156.0
2002,points,Ireland,156.0
2002,points,Wales,119.0
2002,points,Scotland,94.0
2002,points,Italy,70.0
2002,points,England,258.0
2002,points,France,156.0
2002,points,Ireland,156.0
2002,points,Wales,119.0
2002,points,Scotland,94.0
2002,points,Italy,70.0
2002,england,England,258.0
2002,england,France,156.0
2002,england,Ireland,156.0
2002,england,Wales,119.0
2002,england,Scotland,94.0
2002,england,Italy,70.0
2003,all_time_6nations_wins,England,255.0
2003,all_time_6nations_wins,Ireland,161.0
2003,all_time_6nations_wins,France,153.0
2003,all_time_6nations_wins,Italy,100.0
2003,all_time_6nations_wins,Scotland,96.0
2003,all_time_6nations_wins,Wales,82.0
2003,all_time_6nations_wins,England,255.0
2003,all_time_6nations_wins,Ireland,161.0
2003,all_time_6nations_wins,France,153.0
2003,all_time_6nations_wins,Italy,100.0
2003,all_time_6nations_wins,Scotland,96.0
2003,all_time_6nations_wins,Wales,82.0
2003,points,England,255.0
2003,points,Ireland,161.0
2003,points,France,153.0
2003,points,Italy,100.0
2003,points,Scotland,96.0
2003,points,Wales,82.0
2003,points,England,255.0
2003,points,Ireland,161.0
2003,points,France,153.0
2003,points,Italy,100.0
2003,points,Scotland,96.0
2003,points,Wales,82.0
2003,england,England,255.0
2003,england,Ireland,161.0
2003,england,France,153.0
2003,england,Italy,100.0
2003,england,Scotland,96.0
2003,england,Wales,82.0
2004,all_time_6nations_wins,England,198.0
2004,all_time_6nations_wins,Ireland,184.0
2004,all_time_6nations_wins,France,144.0
2004,all_time_6nations_wins,Wales,125.0
2004,all_time_6nations_wins,Scotland,82.0
2004,all_time_6nations_wins,Italy,42.0
2004,all_time_6nations_wins,England,198.0
2004,all_time_6nations_wins,Ireland,184.0
2004,all_time_6nations_wins,France,144.0
2004,all_time_6nations_wins,Wales,125.0
2004,all_time_6nations_wins,Scotland,82.0
2004,all_time_6nations_wins,Italy,42.0
2004,points,England,198.0
2004,points,Ireland,184.0
2004,points,France,144.0
2004,points,Wales,125.0
2004,points,Scotland,82.0
2004,points,Italy,42.0
2004,points,England,198.0
2004,points,Ireland,184.0
2004,points,France,144.0
2004,points,Wales,125.0
2004,points,Scotland,82.0
2004,points,Italy,42.0
2004,england,England,198.0
2004,england,Ireland,184.0
2004,england,France,144.0
2004,england,Wales,125.0
2004,england,Scotland,82.0
2004,england,Italy,42.0
2005,all_time_6nations_wins,Ireland,185.0
2005,all_time_6nations_wins,England,177.0
2005,all_time_6nations_wins,Wales,151.0
2005,all_time_6nations_wins,France,134.0
2005,all_time_6nations_wins,Scotland,119.0
2005,all_time_6nations_wins,Italy,55.0
2005,all_time_6nations_wins,Ireland,185.0
2005,all_time_6nations_wins,England,177.0
2005,all_time_6nations_wins,Wales,151.0
2005,all_time_6nations_wins,France,134.0
2005,all_time_6nations_wins,Scotland,119.0
2005,all_time_6nations_wins,Italy,55.0
2005,points,Ireland,185.0
2005,points,England,177.0
2005,points,Wales,151.0
2005,points,France,134.0
2005,points,Scotland,119.0
2005,points,Italy,55.0
2005,points,Ireland,185.0
2005,points,England,177.0
2005,points,Wales,151.0
2005,points,France,134.0
2005,points,Scotland,119.0
2005,points,Italy,55.0
2005,ireland,Ireland,185.0
2005,ireland,England,177.0
2005,ireland,Wales,151.0
2005,ireland,France,134.0
2005,ireland,Scotland,119.0
2005,ireland,Italy,55.0
2006,all_time_6nations_wins,Ireland,174.0
2006,all_time_6nations_wins,England,156.0
2006,all_time_6nations_wins,France,148.0
2006,all_time_6nations_wins,Scotland,105.0
2006,all_time_6nations_wins,Wales,80.0
2006,all_time_6nations_wins,Italy,72.0
2006,all_time_6nations_wins,Ireland,174.0
2006,all_time_6nations_wins,England,156.0
2006,all_time_6nations_wins,France,148.0
2006,all_time_6nations_wins,Scotland,105.0
2006,all_time_6nations_wins,Wales,80.0
2006,all_time_6nations_wins,Italy,72.0
2006,points,Ireland,174.0
2006,points,England,156.0
2006,points,France,148.0
2006,points,Scotland,105.0
2006,points,Wales,80.0
2006,points,Italy,72.0
2006,points,Ireland,174.0
2006,points,England,156.0
2006,points,France,148.0
2006,points,Scotland,105.0
2006,points,Wales,80.0
2006,points,Italy,72.0
2006,ireland,Ireland,174.0
2006,ireland,England,156.0
2006,ireland,France,148.0
2006,ireland,Scotland,105.0
2006,ireland,Wales,80.0
