year,team,final_position,grand_slam,matches_played,matches_won,matches_drawn,matches_lost,points_scored,points_conceded,points_difference,tries_scored,tries_conceded,bonus_points,table_points
2000,England,1.0,0,5.0,4.0,0.0,1.0,183.0,70.0,113.0,20.0,5.0,0.0,8.0
2000,France,2.0,N/A,5.0,3.0,0.0,2.0,140.0,92.0,48.0,12.0,8.0,0.0,6.0
2000,Ireland,3.0,N/A,5.0,3.0,0.0,2.0,168.0,133.0,35.0,17.0,13.0,0.0,6.0
2000,Wales,4.0,N/A,5.0,3.0,0.0,2.0,111.0,135.0,-24.0,8.0,12.0,0.0,6.0
2000,Scotland,5.0,N/A,5.0,1.0,0.0,4.0,95.0,145.0,-50.0,9.0,12.0,0.0,2.0
2000,Italy,6.0,N/A,5.0,1.0,0.0,4.0,106.0,228.0,-122.0,9.0,25.0,0.0,0.0
2001,England,1.0,0,5.0,4.0,0.0,1.0,229.0,80.0,149.0,29.0,6.0,0.0,8.0
2001,Ireland,2.0,N/A,5.0,4.0,0.0,1.0,129.0,89.0,40.0,11.0,10.0,0.0,8.0
2001,Scotland,3.0,N/A,5.0,2.0,1.0,2.0,92.0,116.0,-24.0,8.0,10.0,0.0,5.0
2001,Wales,4.0,N/A,5.0,2.0,1.0,2.0,125.0,166.0,-41.0,10.0,15.0,0.0,5.0
2001,France,5.0,N/A,5.0,2.0,0.0,3.0,115.0,138.0,-23.0,9.0,12.0,0.0,4.0
2001,Italy,6.0,N/A,5.0,0.0,0.0,5.0,106.0,207.0,-101.0,8.0,22.0,0.0,0.0
2002,France,1.0,1,5.0,5.0,0.0,0.0,156.0,75.0,81.0,15.0,7.0,0.0,10.0
2002,England,2.0,N/A,5.0,4.0,0.0,1.0,184.0,53.0,131.0,23.0,4.0,0.0,8.0
2002,Ireland,3.0,N/A,5.0,3.0,0.0,2.0,145.0,138.0,7.0,16.0,15.0,0.0,6.0
2002,Scotland,4.0,N/A,5.0,2.0,0.0,3.0,91.0,128.0,-37.0,6.0,13.0,0.0,4.0
2002,Wales,5.0,N/A,5.0,1.0,0.0,4.0,119.0,188.0,-69.0,11.0,18.0,0.0,2.0
2002,Italy,6.0,N/A,5.0,0.0,0.0,5.0,70.0,183.0,-113.0,4.0,18.0,0.0,0.0
2003,England,1.0,1,5.0,5.0,0.0,0.0,173.0,46.0,127.0,18.0,4.0,0.0,10.0
2003,Ireland,2.0,N/A,5.0,4.0,0.0,1.0,119.0,97.0,22.0,10.0,9.0,0.0,8.0
2003,France,3.0,N/A,5.0,3.0,0.0,2.0,153.0,75.0,78.0,17.0,6.0,0.0,6.0
2003,Scotland,4.0,N/A,5.0,2.0,0.0,3.0,81.0,161.0,-80.0,7.0,17.0,0.0,4.0
2003,Italy,5.0,N/A,5.0,1.0,0.0,4.0,100.0,185.0,-85.0,12.0,25.0,0.0,2.0
2003,Wales,6.0,N/A,5.0,0.0,0.0,5.0,82.0,144.0,-62.0,10.0,13.0,0.0,0.0
2004,France,1.0,1,5.0,5.0,0.0,0.0,144.0,60.0,84.0,14.0,5.0,0.0,10.0
2004,Ireland,2.0,N/A,5.0,4.0,0.0,1.0,128.0,82.0,46.0,17.0,8.0,0.0,8.0
2004,England,3.0,N/A,5.0,3.0,0.0,2.0,150.0,86.0,64.0,17.0,6.0,0.0,6.0
2004,Wales,4.0,N/A,5.0,2.0,0.0,3.0,125.0,116.0,9.0,14.0,13.0,0.0,4.0
2004,Italy,5.0,N/A,5.0,1.0,0.0,4.0,42.0,152.0,-110.0,2.0,20.0,0.0,2.0
2004,Scotland,6.0,N/A,5.0,0.0,0.0,5.0,53.0,146.0,-93.0,4.0,16.0,0.0,0.0
2005,Wales,1.0,1,5.0,5.0,0.0,0.0,151.0,77.0,74.0,17.0,8.0,0.0,10.0
2005,France,2.0,N/A,5.0,4.0,0.0,1.0,134.0,82.0,52.0,13.0,6.0,0.0,8.0
2005,Ireland,3.0,N/A,5.0,3.0,0.0,2.0,126.0,101.0,25.0,12.0,9.0,0.0,6.0
2005,England,4.0,N/A,5.0,2.0,0.0,3.0,121.0,77.0,44.0,16.0,6.0,0.0,4.0
2005,Scotland,5.0,N/A,5.0,1.0,0.0,4.0,84.0,155.0,-71.0,8.0,20.0,0.0,2.0
2005,Italy,6.0,N/A,5.0,0.0,0.0,5.0,55.0,179.0,-124.0,5.0,22.0,0.0,0.0
2006,France,1.0,0,5.0,4.0,0.0,1.0,148.0,85.0,63.0,18.0,7.0,0.0,8.0
2006,Ireland,2.0,N/A,5.0,4.0,0.0,1.0,131.0,97.0,34.0,12.0,10.0,0.0,8.0
2006,Scotland,3.0,N/A,5.0,3.0,0.0,2.0,78.0,81.0,-3.0,5.0,7.0,0.0,6.0
2006,England,4.0,N/A,5.0,2.0,0.0,3.0,120.0,106.0,14.0,12.0,8.0,0.0,4.0
2006,Wales,5.0,N/A,5.0,1.0,1.0,3.0,80.0,135.0,-55.0,9.0,15.0,0.0,3.0
2006,Italy,6.0,N/A,5.0,0.0,1.0,4.0,72.0,125.0,-53.0,5.0,14.0,0.0,1.0
2007,France,1.0,0,5.0,4.0,0.0,1.0,155.0,86.0,69.0,15.0,9.0,0.0,8.0
2007,Ireland,2.0,N/A,5.0,4.0,0.0,1.0,149.0,84.0,65.0,17.0,5.0,0.0,8.0
2007,England,3.0,N/A,5.0,3.0,0.0,2.0,119.0,115.0,4.0,10.0,9.0,0.0,6.0
2007,Italy,4.0,N/A,5.0,2.0,0.0,3.0,94.0,147.0,-53.0,9.0,18.0,0.0,4.0
2007,Wales,5.0,N/A,5.0,1.0,0.0,4.0,86.0,113.0,-27.0,7.0,9.0,0.0,2.0
2007,Scotland,6.0,N/A,5.0,1.0,0.0,4.0,95.0,153.0,-58.0,7.0,15.0,0.0,2.0
2008,Wales,1.0,1,5.0,5.0,0.0,0.0,148.0,66.0,82.0,13.0,2.0,0.0,10.0
2008,England,2.0,N/A,5.0,3.0,0.0,2.0,108.0,83.0,25.0,8.0,5.0,0.0,6.0
2008,France,3.0,N/A,5.0,3.0,0.0,2.0,103.0,93.0,10.0,11.0,7.0,0.0,6.0
2008,Ireland,4.0,N/A,5.0,2.0,0.0,3.0,93.0,99.0,-6.0,9.0,10.0,0.0,4.0
2008,Scotland,5.0,N/A,5.0,1.0,0.0,4.0,69.0,123.0,-54.0,3.0,13.0,0.0,2.0
2008,Italy,6.0,N/A,5.0,1.0,0.0,4.0,74.0,131.0,-57.0,6.0,13.0,0.0,2.0
2009,Ireland,1.0,1,5.0,5.0,0.0,0.0,121.0,73.0,48.0,12.0,3.0,0.0,10.0
2009,England,2.0,N/A,5.0,3.0,0.0,2.0,124.0,70.0,54.0,16.0,5.0,0.0,6.0
2009,France,3.0,N/A,5.0,3.0,0.0,2.0,124.0,101.0,23.0,14.0,11.0,0.0,8.0
2009,Wales,4.0,N/A,5.0,3.0,0.0,2.0,100.0,81.0,19.0,8.0,7.0,0.0,6.0
2009,Scotland,5.0,N/A,5.0,1.0,0.0,4.0,79.0,102.0,-23.0,4.0,9.0,0.0,2.0
2009,Italy,6.0,N/A,5.0,0.0,0.0,5.0,49.0,170.0,-121.0,2.0,21.0,0.0,0.0
2010,France,1.0,1,5.0,5.0,0.0,0.0,135.0,69.0,66.0,13.0,6.0,0.0,10.0
