year,team,try_scored,carries,offload,try_assist,defender_beaten,missed_tackle,lineout_steals,lineout_throws_won,kicks_in_play,kick_metres,retained_kick,dominant_contact,dominant_tackle_contact,total_successful_tackles,box_kicks,total_turnovers_won,attacking_catch_success,successful_goals,carry_metres_made,post_contact_metres,kick_bounced,initial_break,goal_kick_success_percent,tackle_success_percent,retained_kicks_percent,lineout_success_percent,points,metres_per_carry,post_contact_metres_per_carry,total_jackals,kick_metres_per_kick
2000,England,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,,,
2000,France,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,
2000,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,,,,
2000,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,
2000,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,,,,
2000,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,,,,
2001,England,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,,,
2001,France,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,,,,
2001,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,
2001,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,
2001,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,,,,
2001,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,,,
2002,England,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,,,,
2002,France,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,,,,
2002,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,,,,
2002,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,
2002,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,
2002,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,,,,
2003,England,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,,,,
2003,France,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,,
2003,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,,,
2003,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,
2003,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,
2003,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,
2004,England,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,,,
2004,France,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,,,
2004,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,,,,
2004,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,
2004,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,
2004,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,,,
2005,England,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,,,,
2005,France,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,,,,
2005,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,,,,
